ut_char,uniqueID,auseqence,fullname,surname,givenname,type,pub_year,paper_type,startyear,title,journal,issn,doi
WOS:000234641200006,0_105,1,"WANG, JL",WANG,JL,2,2006,Article,2005,a novel arf-binding protein lzap alters arf regulation of hdm2,biochemical journal,0264-6021,1
WOS:000249514500007,0_105,1,"WANG, JIALIANG",WANG,JIALIANG,1,2007,Article,2005,"lzap, a putative tumor suppressor, selectively inhibits nf-kappa b",cancer cell,1535-6108,1
WOS:000271830200003,0_105,4,"Wang, Jialiang",WANG,JIALIANG,1,2009,Article,2005,targeting interleukin 6 signaling suppresses glioma stem cell survival and tumor growth,stem cells,1066-5099,10.1002/stem.188
WOS:000274496600005,0_105,1,"Wang, Jialiang",WANG,JIALIANG,1,2010,Article,2005,notch promotes radioresistance of glioma stem cells,stem cells,1066-5099,10.1002/stem.261
WOS:000277844800010,0_105,4,"Wang, Jialiang",WANG,JIALIANG,1,2010,Article,2005,integrin alpha 6 regulates glioblastoma stem cells,cell stem cell,1934-5909,10.1016/j.stem.2010.02.018
WOS:000287845300028,0_105,5,"Wang, Jialiang",WANG,JIALIANG,1,2011,Article,2005,using a stem cell-based signature to guide therapeutic selection in cancer,cancer research,0008-5472,10.1158/0008-5472.can-10-1735
WOS:000316996900014,0_105,10,"Wang, Jialiang",WANG,JIALIANG,1,2013,Article,2005,inhibition of bet bromodomain targets genetically diverse glioblastoma,clinical cancer research,1078-0432,10.1158/1078-0432.ccr-12-3066
WOS:000335920000008,0_105,3,"Wang, Jialiang",WANG,JIALIANG,1,2014,Article,2005,"jnk signaling mediates epha2-dependent tumor cell proliferation, motility, and cancer stem cell-like properties in non-small cell lung cancer",cancer research,0008-5472,10.1158/0008-5472.can-13-2136
WOS:000354718200005,0_105,8,"Wang, Jialiang",WANG,JIALIANG,1,2015,Article,2005,critical functions of rhob in support of glioblastoma tumorigenesis,neuro-oncology,1522-8517,10.1093/neuonc/nou228
WOS:000371232900008,0_105,11,"Wang, Jialiang",WANG,JIALIANG,1,2016,Article,2005,insulin-mediated signaling promotes proliferation and survival of glioblastoma through akt activation,neuro-oncology,1522-8517,10.1093/neuonc/nov096
WOS:000373360600024,0_105,7,"Wang, Jialiang",WANG,JIALIANG,1,2016,Article,2005,insr/igf1r pathway mediates resistance to egfr inhibitors in glioblastoma,clinical cancer research,1078-0432,10.1158/1078-0432.ccr-15-1677
WOS:000377273700006,0_105,4,"Wang, Jialiang",WANG,JIALIANG,1,2016,Article,2005,bone morphogenetic protein signaling promotes tumorigenesis in a murine model of high-grade glioma,neuro-oncology,1522-8517,10.1093/neuonc/nov310
WOS:000385395700050,0_105,8,"Wang, Jialiang",WANG,JIALIANG,1,2016,Article,2005,bet bromodomain inhibitors suppress ews-fli1-dependent transcription and the igf1 autocrine mechanism in ewing sarcoma,oncotarget,1949-2553,10.18632/oncotarget.9762
WOS:000399188300019,0_105,12,"Wang, Jialiang",WANG,JIALIANG,1,2017,Article,2005,the mapk pathway regulates intrinsic resistance to bet inhibitors in colorectal cancer,clinical cancer research,1078-0432,10.1158/1078-0432.ccr-16-0453
WOS:000391419200032,0_105,3,"Wang, Jialiang",WANG,JIALIANG,1,2017,Article,2005,"microtubule actin cross-linking factor 1, a novel target in glioblastoma",international journal of oncology,1019-6439,10.3892/ijo.2016.3798
WOS:000417690600016,0_105,10,"Wang, Jialiang",WANG,JIALIANG,1,2017,Article,2005,inhibition of farnesyltransferase potentiates notch-targeted therapy against glioblastoma stem cells,stem cell reports,2213-6711,10.1016/j.stemcr.2017.10.028
WOS:000255499800018,0_118,5,"Zhang, Chen",ZHANG,CHEN,1,2008,Article,2008,a new small molecule inhibitor of estrogen receptor alpha binding to estrogen response elements blocks estrogen-dependent growth of cancer cells,journal of biological chemistry,0021-9258,10.1074/jbc.m709936200
WOS:000306324500007,0_118,4,"Zhang, Chen",ZHANG,CHEN,1,2012,Article,2008,evaluation of a luciferase-based reporter assay as a screen for inhibitors of estrogen-er alpha-induced proliferation of breast cancer cells,journal of biomolecular screening,1087-0571,10.1177/1087057112442960
WOS:000288322800032,0_143,1,"Cui, Meng",CUI,MENG,1,2011,Article,2008,parallel wavefront optimization method for focusing light through random scattering media,optics letters,0146-9592,10.1364/ol.36.000870
WOS:000288860000019,0_143,1,"Cui, Meng",CUI,MENG,1,2011,Article,2008,a high speed wavefront determination method based on spatial frequency modulations for focusing light through random scattering media,optics express,1094-4087,10.1364/oe.19.002989
WOS:000292876500055,0_143,4,"Cui, Meng",CUI,MENG,1,2011,Article,2008,phase resolved interferometric spectral modulation prism for ultrafast pulse measurement and compression,optics express,1094-4087,10.1364/oe.19.012961
WOS:000309523900011,0_143,3,"Cui, Meng",CUI,MENG,1,2012,Article,2008,fluorescence imaging beyond the ballistic regime by ultrasound-pulse-guided digital phase conjugation,nature photonics,1749-4885,10.1038/nphoton.2012.205
WOS:000304881700024,0_143,3,"Cui, Meng",CUI,MENG,1,2012,Article,2008,superpenetration optical microscopy by iterative multiphoton adaptive compensation technique,proceedings of the national academy of sciences of the united states of america,0027-8424,10.1073/pnas.1119590109
WOS:000310448900002,0_143,3,"Cui, Meng",CUI,MENG,1,2012,Article,2008,breaking the spatial resolution barrier via iterative sound-light interaction in deep tissue microscopy,scientific reports,2045-2322,10.1038/srep00748
WOS:000307055800040,0_143,3,"Cui, Meng",CUI,MENG,1,2012,Article,2008,complex wavefront corrections for deep tissue focusing using low coherence backscattered light,optics express,1094-4087,10.1364/oe.20.016532
WOS:000310443400075,0_143,3,"Cui, Meng",CUI,MENG,1,2012,Article,2008,parallel wavefront measurements in ultrasound pulse guided digital phase conjugation,optics express,1094-4087,10.1364/oe.20.024827
WOS:000342757000005,0_143,2,"Cui, Meng",CUI,MENG,1,2014,Article,2008,in vivo fluorescence microscopy via iterative multi-photon adaptive compensation technique,optics express,1094-4087,10.1364/oe.22.023786
WOS:000339927700006,0_143,3,"Cui, Meng",CUI,MENG,1,2014,Article,2008,a self-adaptive method for creating high efficiency communication channels through random scattering media,scientific reports,2045-2322,10.1038/srep05874
WOS:000358656500045,0_143,3,"Cui, Meng",CUI,MENG,1,2015,Article,2008,high-resolution in vivo imaging of mouse brain through the intact skull,proceedings of the national academy of sciences of the united states of america,0027-8424,10.1073/pnas.1505939112
WOS:000351765900044,0_143,2,"Cui, Meng",CUI,MENG,1,2015,Article,2008,numerical study of multi-conjugate large area wavefront correction for deep tissue microscopy,optics express,1094-4087,10.1364/oe.23.007463
WOS:000350878500067,0_143,2,"Cui, Meng",CUI,MENG,1,2015,Article,2008,in vivo neuroimaging through the highly scattering tissue via iterative multi-photon adaptive compensation technique,optics express,1094-4087,10.1364/oe.23.006145
WOS:000369066300087,0_143,3,"Cui, Meng",CUI,MENG,1,2016,Article,2008,in vivo volumetric imaging of biological dynamics in deep tissue via wavefront engineering,optics express,1094-4087,10.1364/oe.24.001214
WOS:000373395700068,0_143,3,"Cui, Meng",CUI,MENG,1,2016,Article,2008,multicolor multiphoton in vivo imaging flow cytometry,optics express,1094-4087,10.1364/oe.24.006126
WOS:000385416500041,0_143,3,"Cui, Meng",CUI,MENG,1,2016,Article,2008,motion quantification during multi-photon functional imaging in behaving animals,biomedical optics express,2156-7085,10.1364/boe.7.003686
WOS:000373065500001,0_143,2,"Cui, Meng",CUI,MENG,1,2016,Article,2008,in vivo deep tissue imaging via iterative multiphoton adaptive compensation technique,ieee journal of selected topics in quantum electronics,1077-260X,10.1109/jstqe.2015.2509947
WOS:000402515800051,0_143,1,"Cui, Meng",CUI,MENG,1,2017,Article,2008,a proof-of-concept study for developing integrated two-photon microscopic and magnetic resonance imaging modality at ultrahigh field of 164 tesla,scientific reports,2045-2322,10.1038/s41598-017-02864-0
WOS:000402291800018,0_143,4,"Cui, Meng",CUI,MENG,1,2017,Article,2008,large-field-of-view imaging by multi-pupil adaptive optics,nature methods,1548-7091,10.1038/nmeth.4290
WOS:000492996000090,0_143,5,"Cui, Meng",CUI,MENG,1,2019,Article,2008,large-scale femtosecond holography for near simultaneous optogenetic neural modulation,optics express,1094-4087,10.1364/oe.27.032228
WOS:000495871300041,0_143,5,"Cui, Meng",CUI,MENG,1,2019,Article,2008,off-axis spatiotemporally gated multimode detection toward deep fog imaging,optics express,1094-4087,10.1364/oe.27.033326
WOS:000259265200040,0_161,7,"Yu, G",YU,G,2,2008,Article,2008,unusual magnetic order in the pseudogap region of the superconductor hgba2cuo4+delta,nature,0028-0836,10.1038/nature07251
WOS:000259368200122,0_161,6,"Yu, Guichuan",YU,GUICHUAN,1,2008,Article,2008,demonstrating the model nature of the high-temperature superconductor hgba2cuo4+delta,physical review b,1098-0121,10.1103/physrevb.78.054518
WOS:000270383000081,0_161,7,"Yu, G",YU,G,2,2009,Article,2008,microwave measurements of the in-plane and c-axis conductivity in hgba2cuo4+delta discriminating between superconducting fluctuations and pseudogap effects,physical review b,1098-0121,10.1103/physrevb.80.094511
WOS:000273086700012,0_161,1,"Yu, G",YU,G,2,2009,Article,2008,a universal relationship between magnetic resonance and superconducting gap in unconventional superconductors,nature physics,1745-2473,10.1038/nphys1426
WOS:000274998100108,0_161,1,"Yu, G",YU,G,2,2010,Article,2008,magnetic resonance in the model high-temperature superconductor hgba2cuo4+delta,physical review b,1098-0121,10.1103/physrevb.81.064518
WOS:000282753000016,0_161,7,"Yu, G",YU,G,2,2010,Article,2008,enhancement of the critical temperature of hgba2cuo4+delta by applying uniaxial and hydrostatic pressure implications for a universal trend in cuprate superconductors,physical review letters,0031-9007,10.1103/physrevlett.105.167002
WOS:000284051000046,0_161,3,"Yu, G",YU,G,2,2010,Article,2008,hidden magnetic excitation in the pseudogap phase of a high-t-c superconductor,nature,0028-0836,10.1038/nature09477
WOS:000284087900001,0_161,1,"Yu, G",YU,G,2,2010,Article,2008,two characteristic energies in the low-energy magnetic response of the electron-doped high-temperature superconductor nd2-xcexcuo4+delta,physical review b,1098-0121,10.1103/physrevb.82.172505
WOS:000298552700006,0_161,6,"Yu, G",YU,G,2,2011,Article,2008,magnetic order in the pseudogap phase of hgba2cuo4+delta studied by spin-polarized neutron diffraction,physical review b,1098-0121,10.1103/physrevb.84.224508
WOS:000301915900005,0_161,5,"Yu, Guichuan",YU,GUICHUAN,1,2012,Article,2008,two-component uniform spin susceptibility of superconducting hgba2cuo4+delta single crystals measured using cu-63 and hg-199 nuclear magnetic resonance,physical review b,1098-0121,10.1103/physrevb.85.104517
WOS:000303599200021,0_161,2,"Yu, G",YU,G,2,2012,Article,2008,two ising-like magnetic excitations in a single-layer cuprate superconductor,nature physics,1745-2473,10.1038/nphys2271
WOS:000309959500013,0_161,2,"Yu, G",YU,G,2,2012,Article,2008,temperature and field dependence of the anisotropy parameter for the high-temperature superconductor hgba2cuo4+delta,superconductor science & technology,0953-2048,10.1088/0953-2048/25/11/115010
WOS:000319278400018,0_161,3,"Yu, G",YU,G,2,2013,Article,2008,time-resolved optical reflectivity of the electron-doped nd2-xcexcuo4+delta cuprate superconductor evidence for an interplay between competing orders,physical review letters,0031-9007,10.1103/physrevlett.110.217002
WOS:000322112300033,0_161,4,"Yu, Guichuan",YU,GUICHUAN,1,2013,Article,2008,universal sheet resistance and revised phase diagram of the cuprate high-temperature superconductors,proceedings of the national academy of sciences of the united states of america,0027-8424,10.1073/pnas.1301989110
WOS:000327944600011,0_161,7,"Yu, Guichuan",YU,GUICHUAN,1,2013,Article,2008,universal quantum oscillations in the underdoped cuprate superconductors,nature physics,1745-2473,10.1038/nphys2792
WOS:000336841000003,0_161,6,"Yu, G",YU,G,2,2014,Article,2008,angle-resolved photoemission spectroscopy study of hgba2cuo4+delta,physical review b,1098-0121,10.1103/physrevb.89.195141
WOS:000342153900014,0_161,6,"Yu, G",YU,G,2,2014,Article,2008,high-energy anomaly in the angle-resolved photoemission spectra of nd2-xcexcuo4 evidence for a matrix element effect,physical review letters,0031-9007,10.1103/physrevlett.113.137001
WOS:000344846700024,0_161,9,"Yu, G",YU,G,2,2014,Article,2008,asymmetry of collective excitations in electron- and hole-doped cuprate superconductors,nature physics,1745-2473,10.1038/nphys3117
WOS:000347685800001,0_161,17,"Yu, G",YU,G,2,2014,Article,2008,charge order and its connection with fermi-liquid charge transport in a pristine high-t-c cuprate,nature communications,2041-1723,10.1038/ncomms6875
WOS:000367775000030,0_161,8,"Yu, Guichuan",YU,GUICHUAN,1,2016,Article,2008,synthesis and characterization of noble metal borides rubxx > 1,materials research bulletin,0025-5408,10.1016/j.materresbull.2015.10.039
WOS:000371714100001,0_161,7,"Yu, G",YU,G,2,2016,Article,2008,commensurate antiferromagnetic excitations as a signature of the pseudogap in the tetragonal high-t-c cuprate hgba2cuo4+delta,nature communications,2041-1723,10.1038/ncomms10819
WOS:000386903400018,0_161,3,"Yu, G",YU,G,2,2016,Article,2008,hidden fermi-liquid charge transport in the antiferromagnetic phase of the electron-doped cuprate superconductors,physical review letters,0031-9007,10.1103/physrevlett.117.197001
WOS:000412699100006,0_161,20,"Yu, G",YU,G,2,2017,Article,2008,synchrotron x-ray scattering study of charge-density-wave order in hgba2cuo4+delta,physical review b,2469-9950,10.1103/physrevb.96.134510
WOS:000333244200009,0_105,4,"Wang, J",WANG,J,2,2014,Article,2005,tax-interacting protein 1 coordinates the spatiotemporal activation of rho gtpases and regulates the infiltrative growth of human glioblastoma,oncogene,0950-9232,10.1038/onc.2013.97
WOS:000418773800001,0_161,2,"Yu, Guichuan",YU,GUICHUAN,1,2017,Article,2008,ion-gel-gating-induced oxygen vacancy formation in epitaxial la05sr05coo3-delta films from in operando x-ray and neutron scattering,physical review materials,2475-9953,10.1103/physrevmaterials.1.071403
WOS:000325206300013,0_118,2,"Zhang, Chen",ZHANG,CHEN,1,2013,Article,2008,perturbation of au-assisted planar gaas nanowire growth by p-type dopant impurities,optical materials express,2159-3930,10.1364/ome.3.001687
WOS:000347862600005,0_124,1,"Tang, Yizhe",TANG,YIZHE,1,2015,Review,2009,hypothalamic microinflammation a common basis of metabolic syndrome and aging,trends in neurosciences,0166-2236,10.1016/j.tins.2014.10.002
WOS:000280371800016,0_124,3,"Tang, Yizhe",TANG,YIZHE,1,2010,Article,2009,hiv antigen incorporation within adenovirus hexon hypervariable 2 for a novel hiv vaccine approach,plos one,1932-6203,10.1371/journal.pone.0011815
WOS:000341404000012,0_124,5,"Tang, Yizhe",TANG,YIZHE,1,2014,Article,2009,obesity- and aging-induced excess of central transforming growth factor-beta potentiates diabetic development via an rna stress response,nature medicine,1078-8956,10.1038/nm.3616
WOS:000319808000010,0_124,1,"Tang, Y",TANG,Y,2,2013,Article,2009,"downregulation of splicing factor srsf3 induces p53 beta, an alternatively spliced isoform of p53 that promotes cellular senescence",oncogene,0950-9232,10.1038/onc.2012.288
WOS:000309543800009,0_124,2,"Tang, Yizhe",TANG,YIZHE,1,2012,Article,2009,ikk beta/nf-kappa b disrupts adult hypothalamic neural stem cells to mediate a neurodegenerative mechanism of dietary obesity and pre-diabetes,nature cell biology,1465-7392,10.1038/ncb2562
WOS:000209638200013,0_124,2,"Tang, Yizhe",TANG,YIZHE,1,2014,Article,2009,control of obesity and glucose intolerance via building neural stem cells in the hypothalamus,molecular metabolism,2212-8778,10.1016/j.molmet.2014.01.012
WOS:000273180200010,0_124,1,"Tang, Yizhe",TANG,YIZHE,1,2009,Article,2009,derivation of a triple mosaic adenovirus for cancer gene therapy,plos one,1932-6203,10.1371/journal.pone.0008526
WOS:000318558200030,0_124,4,"Tang, Yizhe",TANG,YIZHE,1,2013,Article,2009,"hypothalamic programming of systemic ageing involving ikk-beta, nf-kappa b and gnrh",nature,0028-0836,10.1038/nature12143
WOS:000518042000245,0_37,8,"Hu, Jianjun",HU,JIANJUN,1,2019,Article,2004,computational screening of new perovskite materials using transfer learning and deep learning,applied sciences-basel,NA,10.3390/app9245510
WOS:000482488300013,0_37,5,"Hu, Jianjun",HU,JIANJUN,1,2019,Article,2004,a deep learning algorithm for one-step contour aware nuclei segmentation of histopathology images,medical & biological engineering & computing,0140-0118,10.1007/s11517-019-02008-8
WOS:000485269700174,0_37,4,"Hu, Jianjun",HU,JIANJUN,1,2019,Article,2004,using big data analytics to improve hiv medical care utilisation in south carolina a study protocol,bmj open,2044-6055,10.1136/bmjopen-2018-027688
WOS:000467803400022,0_37,4,"Hu, Jianjun",HU,JIANJUN,1,2019,Article,2004,multiple pedestrian tracking by combining particle filter and network flow model,neurocomputing,0925-2312,10.1016/j.neucom.2019.03.077
WOS:000471014500016,0_37,6,"Hu, Jianjun",HU,JIANJUN,1,2019,Article,2004,deep autoencoder neural networks for short-term traffic congestion prediction of transportation networks,sensors,NA,10.3390/s19102229
WOS:000467300100011,0_37,7,"Hu, Jianjun",HU,JIANJUN,1,2019,Article,2004,convolutional neural networks for crystal material property prediction using hybrid orbital-field matrix and magpie descriptors,crystals,2073-4352,10.3390/cryst9040191
WOS:000456826200023,0_37,6,"Hu, Jianjun",HU,JIANJUN,1,2019,Article,2004,"deepseqpan, a novel deep convolutional neural network model for pan-specific class i hla-peptide binding affinity prediction",scientific reports,2045-2322,10.1038/s41598-018-37214-1
WOS:000498819200001,0_37,6,"Hu, Jianjun",HU,JIANJUN,1,2019,Article,2004,online damage monitoring of sicf-sicm composite materials using acoustic emission and deep learning,ieee access,2169-3536,10.1109/access.2019.2943210
WOS:000482594400001,0_37,6,"Hu, Jianjun",HU,JIANJUN,1,2019,Article,2004,limited data rolling bearing fault diagnosis with few-shot learning,ieee access,2169-3536,10.1109/access.2019.2934233
WOS:000455145000084,0_37,7,"Hu, Jianjun",HU,JIANJUN,1,2018,Article,2004,transfer learning with deep recurrent neural networks for remaining useful life estimation,applied sciences-basel,2076-3417,10.3390/app8122416
WOS:000451754300004,0_37,4,"Hu, Jianjun",HU,JIANJUN,1,2018,Article,2004,deeppatent patent classification with convolutional neural networks and word embedding,scientometrics,0138-9130,10.1007/s11192-018-2905-5
WOS:000446770200356,0_37,5,"Hu, Jianjun",HU,JIANJUN,1,2018,Review,2004,tourism review sentiment classification using a bidirectional recurrent neural network with an attention mechanism and topic-enriched word vectors,sustainability,2071-1050,10.3390/su10093313
WOS:000445760200173,0_37,7,"Hu, Jianjun",HU,JIANJUN,1,2018,Article,2004,end-to-end convolutional neural network model for gear fault diagnosis based on sound signals,applied sciences-basel,2076-3417,10.3390/app8091584
WOS:000441814300142,0_37,6,"Hu, Jianjun",HU,JIANJUN,1,2018,Article,2004,an ensemble stacked convolutional neural network model for environmental event sound recognition,applied sciences-basel,2076-3417,10.3390/app8071152
WOS:000425549800002,0_37,2,"Hu, Jianjun",HU,JIANJUN,1,2018,Article,2004,first-principle-based computational doping of srtio3 using combinatorial genetic algorithms,bulletin of materials science,0250-4707,10.1007/s12034-017-1515-9
WOS:000424554800008,0_37,3,"Hu, Jianjun",HU,JIANJUN,1,2018,Article,2004,inferring phase diagrams from x-ray data with background signals using graph segmentation,materials science and technology,0267-0836,10.1080/02670836.2017.1389116
WOS:000408576900032,0_37,5,"Hu, Jianjun",HU,JIANJUN,1,2017,Article,2004,an ensemble deep convolutional neural network model with improved d-s evidence fusion for bearing fault diagnosis,sensors,1424-8220,10.3390/s17081729
WOS:000396379900002,0_37,4,"Hu, Jianjun",HU,JIANJUN,1,2017,Article,2004,automated phase segmentation for large-scale x-ray diffraction data using a graph-based phase segmentation gphase algorithm,acs combinatorial science,2156-8952,10.1021/acscombsci.6b00121
WOS:000414468100001,0_37,3,"Hu, Jianjun",HU,JIANJUN,1,2017,Article,2004,improving rolling bearing fault diagnosis by ds evidence theory based fusion model,journal of sensors,1687-725X,10.1155/2017/6737295
WOS:000381991400018,0_37,2,"Hu, Jianjun",HU,JIANJUN,1,2016,Article,2004,semi-supervised approach to phase identification from combinatorial sample diffraction patterns,jom,1047-4838,10.1007/s11837-016-2033-8
WOS:000354702100001,0_37,5,"Hu, Jianjun",HU,JIANJUN,1,2015,Article,2004,generalized machine learning technique for automatic phase attribution in time variant high-throughput experimental studies,journal of materials research,0884-2914,10.1557/jmr.2015.80
WOS:000342849400041,0_37,3,"Hu, Jianjun",HU,JIANJUN,1,2014,Article,2004,computational identification of post-translational modification-based nuclear import regulations by characterizing nuclear localization signal-import receptor interaction,proteins-structure function and bioinformatics,0887-3585,10.1002/prot.24642
WOS:000335256100001,0_37,2,"Hu, Jianjun",HU,JIANJUN,1,2014,Article,2004,conformational changes and translocation of tissue-transglutaminase to the plasma membranes role in cancer cell migration,bmc cancer,1471-2407,10.1186/1471-2407-14-256
WOS:000337686100003,0_37,2,"Hu, Jianjun",HU,JIANJUN,1,2014,Article,2004,network based prediction of protein localisation using diffusion kernel,international journal of data mining and bioinformatics,1748-5673,10.1504/ijdmb.2014.062146
WOS:000325980300004,0_37,2,"Hu, Jianjun",HU,JIANJUN,1,2013,Article,2004,dnabind a hybrid algorithm for structure-based prediction of dna-binding residues by combining machine learning- and template-based approaches,proteins-structure function and bioinformatics,0887-3585,10.1002/prot.24330
WOS:000326270700013,0_37,2,"Hu, Jianjun",HU,JIANJUN,1,2013,Article,2004,seqnls nuclear localization signal prediction based on frequent pattern mining and linear motif scoring,plos one,1932-6203,10.1371/journal.pone.0076864
WOS:000307932600001,0_37,4,"Hu, Jianjun",HU,JIANJUN,1,2012,Article,2004,minimalist ensemble algorithms for genome-wide protein localization prediction,bmc bioinformatics,1471-2105,10.1186/1471-2105-13-157
WOS:000295943000040,0_37,2,"Hu, Jianjun",HU,JIANJUN,1,2011,Article,2004,computational prediction of heme-binding residues by exploiting residue interaction network,plos one,1932-6203,10.1371/journal.pone.0025560
WOS:000292130000001,0_37,2,"Hu, Jianjun",HU,JIANJUN,1,2011,Article,2004,hemebind a novel method for heme binding residue prediction by combining structural and sequence information,bmc bioinformatics,1471-2105,10.1186/1471-2105-12-207
WOS:000287419900010,0_37,1,"Hu, JhenJia",HU,JHENJIA,1,2011,Article,2004,genetic regulatory network-based symbiotic evolution,expert systems with applications,0957-4174,10.1016/j.eswa.2010.09.172
WOS:000289200100003,0_37,1,"Hu, Jianjun",HU,JIANJUN,1,2010,Article,2004,density based pruning for identification of differentially expressed genes from microarray data,bmc genomics,1471-2164,10.1186/1471-2164-11-s2-s3
WOS:000284045300005,0_37,5,"Hu, Jianjun",HU,JIANJUN,1,2010,Article,2004,proteomic characterization of her2/neu-overexpressing breast cancer cells,proteomics,1615-9853,10.1002/pmic.201000297
WOS:000280046400002,0_37,2,"Hu, Jianjun",HU,JIANJUN,1,2010,Article,2004,dose-responsive gene expression changes in juvenile and adult mummichogs fundulus heteroclitus after arsenic exposure,marine environmental research,0141-1136,10.1016/j.marenvres.2010.04.003
WOS:000277537900045,0_37,1,"Hu, Jianjun",HU,JIANJUN,1,2010,Article,2004,bayesmotif de novo protein sorting motif discovery from impure datasets,bmc bioinformatics,1471-2105,10.1186/1471-2105-11-s1-s66
WOS:000272795300039,0_37,4,"Hu, Jianjun",HU,JIANJUN,1,2009,Article,2004,subcellular localization of marine bacterial alkaline phosphatases,proceedings of the national academy of sciences of the united states of america,0027-8424,10.1073/pnas.0907586106
WOS:000265601900025,0_37,2,"Hu, Jianjun",HU,JIANJUN,1,2009,Article,2004,integrative disease classification based on cross-platform microarray data,bmc bioinformatics,1471-2105,10.1186/1471-2105-10-s1-s25
WOS:000257098700004,0_37,1,"Hu, Jianjun",HU,JIANJUN,1,2008,Article,2004,automated synthesis of mechanical vibration absorbers using genetic programming,ai edam-artificial intelligence for engineering design analysis and manufacturing,0890-0604,10.1017/s0890060408000140
WOS:000241469600002,0_37,1,"HU, JIANJUN",HU,JIANJUN,1,2006,Article,2004,integrative missing value estimation for microarray data,bmc bioinformatics,1471-2105,1
WOS:000239740000001,0_37,1,"HU, JIANJUN",HU,JIANJUN,1,2006,Article,2004,emd an ensemble algorithm for discovering regulatory motifs in dna sequences,bmc bioinformatics,1471-2105,1
WOS:000238905700020,0_37,12,"HU, JIANJUN",HU,JIANJUN,1,2006,Article,2004,integrative array analyzer a software package for analysis of cross-platform and cross-species microarray data,bioinformatics,1367-4803,1
WOS:000229925800005,0_37,1,"HU, JJ",HU,JJ,2,2005,Article,2004,the hierarchical fair competition hfc framework for sustainable evolutionary algorithms,evolutionary computation,1063-6560,1
WOS:000231925700028,0_37,1,"HU, JJ",HU,JJ,2,2005,Article,2004,limitations and potentials of current motif discovery algorithms,nucleic acids research,0305-1048,1
WOS:000220845700002,0_37,3,"HU, JJ",HU,JJ,2,2004,Article,2004,a novel evolutionary engineering design approach for mixed-domain systems,engineering optimization,0305-215X,1
WOS:000426874600008,0_39,2,"Yang, Baijian",YANG,BAIJIAN,1,2018,Article,2002,dimension reduction for big data,statistics and its interface,1938-7989,1
WOS:000343841800018,0_39,2,"Yang, Baijian",YANG,BAIJIAN,1,2014,Article,2002,trust-based incentive mechanism to motivate cooperation in hybrid p2p networks,computer networks,1389-1286,10.1016/j.comnet.2014.08.010
WOS:000303174800004,0_39,4,"Yang, Baijian",YANG,BAIJIAN,1,2012,Article,2002,cable-based moving reachability with mobile sensors,ad hoc & sensor wireless networks,1551-9899,1
WOS:000294521200014,0_39,2,"Yang, Baijian",YANG,BAIJIAN,1,2011,Article,2002,"r2trust, a reputation and risk based trust management framework for large-scale, fully decentralized overlay networks",future generation computer systems-the international journal of grid computing and escience,0167-739X,10.1016/j.future.2011.03.006
WOS:000268415700011,0_39,4,"Yang, Baijian",YANG,BAIJIAN,1,2009,Article,2002,on the reliability of large-scale distributed systems - a topological view,computer networks,1389-1286,10.1016/j.comnet.2009.03.012
WOS:000188511400004,0_39,1,"YANG, BJ",YANG,BJ,2,2004,Article,2002,multicasting in mpls domains,computer communications,0140-3664,1
WOS:000506890600031,0_52,8,"Zeng, Hongbo",ZENG,HONGBO,1,2019,Article,2007,constructing spraying-processed complementary smart windows via electrochromic materials with hierarchical nanostructures,journal of materials chemistry c,2050-7526,10.1039/c9tc04204k
WOS:000501363000036,0_52,11,"Zeng, Hongbo",ZENG,HONGBO,1,2019,Article,2007,metformin attenuates hepatoma cell proliferation by decreasing glycolytic flux through the hif-1 alpha/pfkfb3/pfk1 pathway,life sciences,0024-3205,10.1016/j.lfs.2019.116966
WOS:000487764800099,0_52,6,"Zeng, Hongbo",ZENG,HONGBO,1,2019,Article,2007,engineering the morphology of tio2/carbon hybrids via oxidized ti3c2tx mxene and associated electrorheological activities,chemical engineering journal,1385-8947,10.1016/j.cej.2019.122170
WOS:000491475600007,0_52,6,"Zeng, Hongbo",ZENG,HONGBO,1,2019,Article,2007,metal oxide nanoparticle-modified graphene oxide for removal of elemental mercury,environmental technology,0959-3330,10.1080/09593330.2018.1482372
WOS:000500838500052,0_52,5,"Zeng, Hongbo",ZENG,HONGBO,1,2019,Article,2007,fundamentals and advances in the adhesion of polymer surfaces and thin films,langmuir,0743-7463,10.1021/acs.langmuir.9b02123
WOS:000500838500028,0_52,8,"Zeng, Hongbo",ZENG,HONGBO,1,2019,Article,2007,probing the self-assembly and nonlinear friction behavior of confined gold nano-particles,langmuir,0743-7463,10.1021/acs.langmuir.9b02172
WOS:000500838500022,0_52,8,"Zeng, Hongbo",ZENG,HONGBO,1,2019,Article,2007,probing the interaction forces of phenol/amine deposition in wet adhesion impact of phenol/amine mass ratio and surface properties,langmuir,0743-7463,10.1021/acs.langmuir.9b02022
WOS:000494056200043,0_52,9,"Zeng, Hongbo",ZENG,HONGBO,1,2019,Article,2007,probing effects of molecular-level heterogeneity of surface hydrophobicity on hydrophobic interactions in air/water/solid systems,journal of colloid and interface science,0021-9797,10.1016/j.jcis.2019.09.034
